ID,URL,x1,y1,x2,y2,page
0,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",200,60,400,155,1
1_1,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",60,156,574,493,1
1_2,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,495,570,716,1
1_3,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,40,570,420,2
1_4,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,420,570,770,2
1_5,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,30,570,325,3
1_6,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,325,570,525,3
1_7,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,525,570,765,3
1_8,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,25,570,390,4
1_9,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,390,570,765,4
1_10,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,30,570,390,5
1_11,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,390,570,765,5
1_12,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,35,570,400,6
1_13,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,400,570,760,6
1_14,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,30,570,340,7
1_15,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,365,570,765,7
1_16,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,30,570,400,8
1_17,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,400,570,760,8
1_18,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,40,570,375,9
1_19,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,400,570,755,9
1_20,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,30,570,295,10
1_21,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,295,570,563,10
1_22,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,563,570,762,10
1_23,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,30,570,250,11
1_24,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,255,570,585,11
1_25,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,585,570,762,11
1_26,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,25,570,285,12
1_27,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,285,570,475,12
1_28,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,470,570,765,12
1_29,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,25,570,380,13
1_30,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,380,570,610,13
1_31,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,615,570,760,13
1_32,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,25,570,415,14
1_33,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,415,570,768,14
1_34,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,30,570,360,15
1_35,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,395,570,755,15
1_36,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,40,570,190,16
1_37,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,180,570,520,16
1_38,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,525,570,755,16
1_39,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,35,570,375,17
1_40,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,400,570,800,17
1_41,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,35,570,370,18
1_42,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,410,570,760,18
1_43,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,35,570,345,19
1_44,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,345,570,770,19
2_1,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",45,25,570,385,20
2_2,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",45,385,570,740,20
2_3,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,40,570,407,21
2_4,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,404,570,765,21
2_5,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,35,570,465,22
2_6,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,475,570,750,22
2_7,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,35,570,375,23
2_8,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,375,570,760,23
2_9,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,40,570,465,24
2_10,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,475,570,760,24
2_11,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,38,570,403,25
2_12,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,400,570,755,25
2_13,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,30,570,420,26
2_14,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,416,570,765,26
2_15,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,35,570,389,27
2_16,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,380,570,760,27
2_17,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,40,570,375,28
2_18,"http://ks.imslp.net/files/imglnks/usimg/6/63/IMSLP504082-PMLP1595-combinepdf.pdf",40,375,570,760,28

